pH, [H(+)],Denom,[H2A],[HA(-)],[A(2-)],LOG([H2A]),LOG([HA(-]),LOG([A(2-)]),LOG([H(+]),LOG([OH(-)])
0,1.00E+00,1.01E+00,9.87E-02,1.28E-03,7.57E-10,-1.01E+00,-2.89E+00,-9.12E+00,0,-14
0.5,3.16E-01,1.04E-01,9.61E-02,3.95E-03,7.37E-09,-1.02E+00,-2.40E+00,-8.13E+00,-0.5,-13.5
1.5,3.16E-02,1.41E-03,7.09E-02,2.91E-02,5.44E-07,-1.15E+00,-1.54E+00,-6.26E+00,-1.5,-12.5
2,1.00E-02,2.30E-04,4.35E-02,5.65E-02,3.33E-06,-1.36E+00,-1.25E+00,-5.48E+00,-2,-12
2.5,3.16E-03,5.11E-05,1.96E-02,8.04E-02,1.50E-05,-1.71E+00,-1.09E+00,-4.82E+00,-2.5,-11.5
3,1.00E-03,1.40E-05,7.14E-03,9.28E-02,5.48E-05,-2.15E+00,-1.03E+00,-4.26E+00,-3,-11
3.5,3.16E-04,4.22E-06,2.37E-03,9.74E-02,1.82E-04,-2.63E+00,-1.01E+00,-3.74E+00,-3.5,-10.5
4,1.00E-04,1.32E-06,7.59E-04,9.87E-02,5.82E-04,-3.12E+00,-1.01E+00,-3.24E+00,-4,-10
4.5,3.16E-05,4.20E-07,2.38E-04,9.79E-02,1.83E-03,-3.62E+00,-1.01E+00,-2.74E+00,-4.5,-9.5
5,1.00E-05,1.38E-07,7.26E-05,9.44E-02,5.57E-03,-4.14E+00,-1.03E+00,-2.25E+00,-5,-9
5.5,3.16E-06,4.88E-08,2.05E-05,8.43E-02,1.57E-02,-4.69E+00,-1.07E+00,-1.80E+00,-5.5,-8.5
6,1.00E-06,2.07E-08,4.84E-06,6.29E-02,3.71E-02,-5.32E+00,-1.20E+00,-1.43E+00,-6,-8
6.5,3.16E-07,1.18E-08,8.49E-07,3.49E-02,6.51E-02,-6.07E+00,-1.46E+00,-1.19E+00,-6.5,-7.5
7,1.00E-07,8.97E-09,1.11E-07,1.45E-02,8.55E-02,-6.95E+00,-1.84E+00,-1.07E+00,-7,-7
7.5,3.16E-08,8.08E-09,1.24E-08,5.09E-03,9.49E-02,-7.91E+00,-2.29E+00,-1.02E+00,-7.5,-6.5
8,1.00E-08,7.80E-09,1.28E-09,1.67E-03,9.83E-02,-8.89E+00,-2.78E+00,-1.01E+00,-8,-6
8.5,3.16E-09,7.71E-09,1.30E-10,5.33E-04,9.95E-02,-9.89E+00,-3.27E+00,-1.00E+00,-8.5,-5.5
9,1.00E-09,7.68E-09,1.30E-11,1.69E-04,9.98E-02,-1.09E+01,-3.77E+00,-1.00E+00,-9,-5
9.5,3.16E-10,7.67E-09,1.30E-12,5.36E-05,9.99E-02,-1.19E+01,-4.27E+00,-1.00E+00,-9.5,-4.5
10,1.00E-10,7.67E-09,1.30E-13,1.69E-05,1.00E-01,-1.29E+01,-4.77E+00,-1.00E+00,-10,-4
10.5,3.16E-11,7.67E-09,1.30E-14,5.36E-06,1.00E-01,-1.39E+01,-5.27E+00,-1.00E+00,-10.5,-3.5
11,1.00E-11,7.67E-09,1.30E-15,1.69E-06,1.00E-01,-1.49E+01,-5.77E+00,-1.00E+00,-11,-3
11.5,3.16E-12,7.67E-09,1.30E-16,5.36E-07,1.00E-01,-1.59E+01,-6.27E+00,-1.00E+00,-11.5,-2.5
